Table 1
CMANAME,CMAUID,CSDNAME,CSDUID,public_caf,public_ef,public_emp,public_gs,public_hf,public_psef,public_srf,walk_caf,walk_ef,walk_emp,walk_gs,walk_hf,walk_psef,walk_srf,ada_code_n,ADA_code
Toronto,535,Mississauga,3521005,0.0583323605769231,0.2472290916363,0.240731661507162,18.2307692307692,0.0826789068278476,0.0254161644115979,0.115896339772788,0.00516082403846154,0.126984830857721,0.0249901975191263,6.27593076923077,0.0101998009173648,0,0.0260334602307692,35210030,  35210030
Toronto,535,Brampton,3521010,0.03799470492,0.182045535825392,0.134112796283025,15.58,0.0534073277844279,0.00609177329728047,0.0646163394824954,0.00614931824,0.153524906531559,0.0198677868712819,3.77598166666667,0.020447283466196,0,0.03613044894,35210031,  35210031
Toronto,535,Mississauga,3521005,0.083624586125,0.284757531378378,0.270517161981355,16.5,0.107982257521752,0.0316049102473923,0.148491416918335,0.009163475875,0.151048120398433,0.0258344974066295,3.52957395833333,0.0191558189652959,0.00240409833623425,0.0609548314375,35210032,  35210032
Toronto,535,Brampton,3521010,0.0544694703333333,0.224185951275283,0.20731714973775,18,0.0749555149664429,0.0181422855554367,0.0920849677845169,0.0145638569333333,0.200565748530165,0.030001257492457,4.54433333333333,0.0247792307965102,0,0.0630854327333333,35210034,  35210034
Toronto,535,Brampton,3521010,0.0627385573846154,0.219058679392322,0.185569560679912,16.3461538461538,0.0681903350434166,0.0110709456320673,0.0903840202432049,0.0306524869230769,0.161974172567626,0.0290907385424202,6.22157948717949,0.0284605323371457,0,0.0799271522692308,35210035,  35210035
Toronto,535,Mississauga,3521005,0.10198174655814,0.330768829725483,0.329292271968308,17.9302325581395,0.128927178761881,0.0354850137609809,0.165111322803775,0.00599404062790698,0.0897578030867715,0.0357404124763994,5.99022756410256,0.0122328900253269,0,0.0189997103255814,35210036,  35210036
Toronto,535,Brampton,3521010,0.0562102302641509,0.210801746410748,0.21066115697554,15.2075471698113,0.0752213193700808,0.0222041553926233,0.0883263014161797,0.00553327677358491,0.137499853476929,0.0302984444975146,3.12240705128205,0.016367864480976,0,0.029177752490566,35210037,  35210037
Toronto,535,Brampton,3521010,0.0325499146923077,0.114050447757714,0.072660575085124,15.9487179487179,0.0327832221672035,0.000692358281567182,0.0348123119207477,0.0051789848974359,0.0649169302489317,0.0143601570983967,4.05075256410256,0.0159419141116905,0,0.0100092516666667,35210038,  35210038
Toronto,535,Brampton,3521010,0.0387300802692308,0.174410337414728,0.126541780099744,24.68,0.0508506240572314,0.004619819051365,0.0616675011802533,0.00486860738461538,0.12201603365871,0.0185092818430026,6.06330064102564,0.0167277702387467,0,0.02741724,35210039,  35210039
Toronto,535,Brampton,3521010,0.0386055607083333,0.149408390155998,0.100015193156005,18.8510638297872,0.0433762941284834,0.00283572820618712,0.0478243054472519,0.00718842891666667,0.101688771118593,0.0164944297601347,5.42760173611111,0.0168915332105331,0,0.0256844647708333,35210040,  35210040
Toronto,535,Brampton,3521010,0.100759971071429,0.313746732217816,0.296069344478143,4.42857142857143,0.117469237276649,0.0275544695729288,0.143979163112568,0.0277869102857143,0.177644508806804,0.0350438854116201,3.20513717948718,0.0335498900786465,0,0.0820850800714286,35210041,  35210041
Toronto,535,Brampton,3521010,0.0555707303870968,0.196225209210318,0.156119248241018,12.4193548387097,0.0599981127802205,0.00590603236786928,0.0763542562751544,0.0199022662903226,0.111487720777514,0.026377521602627,3.26588172043011,0.0242070666207475,0,0.0524070629032258,35210042,  35210042
Toronto,535,Brampton,3521010,0.0688302135813953,0.227973457288161,0.226571130677153,21.4418604651163,0.0828351853233198,0.0233369146433651,0.0991746377744598,0.00954451241860465,0.11999376246388,0.0316871217999047,6.81607361111111,0.0178945453821875,0,0.0389320005116279,35210043,  35210043
Toronto,535,Brampton,3521010,0.0478289116410257,0.181805735019474,0.126844998822549,10.6666666666667,0.0527820007601644,0.00405930334586413,0.0620912617227622,0.00516189915384615,0.141131974488979,0.0171541607292168,3.04703461538462,0.0158333144404212,0,0.0280229718205128,35210044,  35210044
Toronto,535,Brampton,3521010,0.046077371,0.168296293367328,0.117991631054362,10.5238095238095,0.0497447227853956,0.00327640116812393,0.0583707194237126,0.00569055857142857,0.101713708032238,0.0216592016686435,2.38980555555556,0.0180919602381834,0,0.0298648905714286,35210046,  35210046
Toronto,535,Brampton,3521010,0.0413769746190476,0.136585763038797,0.0922206368754628,12.2380952380952,0.0413324540714754,0.000951097806145798,0.0462411278114109,0.0013250125,0.0702735161375395,0.0251808029719111,3.04376984126984,0.0176988775630178,0,0.0211572614761905,35210047,  35210047
Toronto,535,Brampton,3521010,0.079617256,0.237563087879389,0.217527410043239,9.07692307692308,0.0795418733224313,0.0120479969092358,0.105294191664502,0.0253131221538462,0.0785035476070867,0.0372822328224004,6.45755,0.026972022060394,0,0.0675930587692308,35210048,  35210048
Toronto,535,Brampton,3521010,0.0582844025333333,0.172699749232456,0.130785253155562,12.2444444444444,0.0556436418229579,0.004282823600039,0.0631465828909639,0.000888098577777778,0.0772164102653437,0.0233837243341314,2.91206148148148,0.015491319687314,0,0.0237395840444444,35210049,  35210049
Toronto,535,Brampton,3521010,0.0522139578333333,0.188490824296459,0.135629059704037,22.3888888888889,0.0546825681073379,0.00430701200915511,0.0667637392633458,0.00439341788888889,0.174883549768455,0.0196174766409336,4.58865,0.0197392044105618,0,0.0312981128333333,35210050,  35210050
Toronto,535,Brampton,3521010,0.0608595752,0.18744488556881,0.169813481254637,17.7142857142857,0.0625807429496151,0.00873511548885724,0.0790058281348201,0.024676563826087,0.122844530047206,0.0309998634927746,5.00056747572815,0.0209433098485807,0,0.0435754047478261,35210051,  35210051
Toronto,535,Brampton,3521010,0.0787558528076923,0.200578062970887,0.167905427164803,18.3461538461538,0.065599153467049,0.00836027611566002,0.0806695901569015,0.0468531576346154,0.157853287731081,0.0317812415116677,4.59184423076923,0.0343327243587807,0,0.0412918386346154,35210052,  35210052
Toronto,535,Brampton,3521010,0.0650882926571428,0.20153635738111,0.151866230043586,17.1428571428571,0.0637009259018785,0.00508095956761584,0.0740794618909786,0.00336031945714286,0.121246398928697,0.020485022818331,4.23552333333333,0.0183377376960384,0,0.0205079321142857,35210053,  35210053
Toronto,535,Brampton,3521010,0.0619976151176471,0.195588462150536,0.146416019643432,23.3529411764706,0.0594893747533741,0.00526186817711929,0.072785618394448,0.0237760065294118,0.16200136839001,0.0242835739352412,5.95872156862745,0.0271100846842344,0,0.0346086310588235,35210055,  35210055
Toronto,535,Brampton,3521010,0.03288838553125,0.127816104129336,0.082816938101814,14.71875,0.0381912411240618,0.00015635802573317,0.0405299395415148,0,0.0754427794130233,0.0270621122377401,3.57623333333333,0.0203961021452539,0,0.017735818,35210057,  35210057
Toronto,535,Brampton,3521010,0.10160609625,0.221408395170718,0.192105752942415,14,0.08179428158168,0.0120535512941095,0.09221120980453,0.03759876553125,0.119664152338162,0.0238912987058398,4.33075833333333,0.0229684979336357,0,0.028854873,35210058,  35210058
Toronto,535,Brampton,3521010,0.03934400942,0.149413664185426,0.098978724678096,13.52,0.0448252773130458,0.0009345434265236,0.0502217789612515,0,0.0895141580013685,0.027939095984514,3.49492866666667,0.0196200076358267,0,0.02452103482,35210059,  35210059
Toronto,535,Brampton,3521010,0.154865686658228,0.28194044394262,0.255186981536952,16.2658227848101,0.113123155690656,0.019737976846129,0.128547731863062,0.111137738455696,0.173610541281477,0.0322911647623181,4.68608818565401,0.0416824282814226,0,0.0552639835189874,35210060,  35210060
Toronto,535,Mississauga,3521005,0.0949930461573034,0.293239453703785,0.297096370500761,19.1764705882353,0.143790104956736,0.023602302388481,0.16633039490804,0.00161444675280899,0.0287110203633185,0.0493068395156636,6.72376921568627,0.0132470404027816,0,0.0262689921123595,35210061,  35210061
Toronto,535,Brampton,3521010,0.0296735994901961,0.125688854966112,0.0812112407421989,21.0392156862745,0.0364972378067563,0.000147587004337759,0.0397226415607122,0,0.0941791706811718,0.0260721207789077,5.06461797385621,0.0189685625338235,0,0.010027659254902,35210062,  35210062
Toronto,535,Brampton,3521010,0.0530875269130435,0.17917320345312,0.129655349239605,15.9565217391304,0.0553659678701173,0.0041069576059263,0.0638579967616066,0,0.0963710926732956,0.0253961358474222,7.54885797101449,0.0189238353054278,0,0.023066644,35210063,  35210063
